date,SPY,QQQ,IWM,TLT,GLD,XLF,XLK,XLE,XLV,XLU
2020-01-31,0.06755564350329679,0.02669954735506058,0.0875533037817931,0.32685533958607305,0.1738805803433968,0.0885642093313837,0.01969586219617051,0.08402471936706152,0.025162018483022717,0.10000877605274115
2020-02-28,0.024553648617008546,0.012170007601055242,0.08956313395680737,0.39152517441643053,0.17388342701902884,0.18756619829730592,0.005926827134182548,0.0388723001849465,0.015823159456335806,0.06011612331689868
2020-03-31,0.031212529256002215,0.10011477515666228,0.017330843790435816,0.3924083527270722,0.32306966503371165,0.017421018321219606,0.033752428007655155,0.004507084126166909,0.06382031239388863,0.016362991187185573
2020-04-30,0.026461841751044664,0.15933037500710867,0.003008318648229578,0.4057902120671613,0.30932744910337456,0.0030152040587407155,0.026664866459070968,0.0008128605815336475,0.06515495868965834,0.0004339136340775277
2020-05-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-06-30,0.0052128204512280184,0.17083902889355146,8.309511792397007e-05,0.4296506669737026,0.26479042079402637,7.131848594737831e-05,0.027780681994342693,2.3272067869448925e-06,0.10151119065912464,5.8449423366081595e-05
2020-07-31,0.0030341150932435418,0.19428156077718364,0.00037236400213480007,0.42821379491201705,0.2647903914793562,0.0003510811432894939,0.0071109011171767095,5.5371546420493016e-05,0.10148692089109085,0.00030349903808725616
2020-08-31,0.0012850816380738216,0.20304586480334974,3.924593106785572e-05,0.48196497062794164,0.1655502856729124,9.145512786068451e-05,0.0026258150429461164,1.7446266245123986e-05,0.1453778412649738,1.993624628648268e-06
2020-09-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-10-30,0.0007161304070737932,0.08716779292240422,1.5872778044930335e-07,0.5181085650161665,0.13501050994931826,2.5121246877407015e-05,0.0010636766820010476,6.216782195005607e-07,0.257900189071231,7.234298927845186e-06
2020-11-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-12-31,0.0033642823971317018,0.010255632341219553,4.985887325574753e-05,0.5222322156636774,0.09861010087599623,0.017091911020637927,0.0010720584669151156,0.00026724804669265765,0.34687987702127215,0.0001768152932014847
